,BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
124,2459604.042416,1.00379,0.00292,1.6861,-1.05,0.94,7.96,15829
125,2459604.043695,0.99613,0.0029,1.6981,1.92,-2.33,8.32,14097
126,2459604.044335,0.99977,0.00298,1.7042,0.45,-1.69,9.11,13468
127,2459604.044974,1.00562,0.00296,1.7104,1.05,0.26,8.79,14469
128,2459604.045642,1.0057,0.00296,1.7169,-2.38,1.1,9.11,13536
129,2459604.046282,0.99963,0.0029,1.7233,-1.12,1.4,8.39,15075
130,2459604.047561,1.00368,0.00284,1.7362,1.19,-1.58,7.46,18048
131,2459604.0482,1.0,0.00291,1.7429,-1.05,-1.03,8.52,15966
132,2459604.048846,0.99731,0.00299,1.7496,-0.75,1.12,8.38,15230
133,2459604.049485,1.00859,0.00294,1.7563,-0.81,1.27,8.11,17322
134,2459604.050152,1.00016,0.00311,1.7635,3.81,-2.98,10.0,11448
135,2459604.050799,1.00176,0.00284,1.7705,1.97,-1.03,6.68,20226
136,2459604.051438,1.0022,0.00296,1.7775,-3.03,0.92,9.37,15483
137,2459604.052076,0.99979,0.00289,1.7847,-1.21,0.11,7.18,21597
138,2459604.052722,1.00418,0.00295,1.7919,3.54,-0.09,7.86,16323
139,2459604.053361,0.99748,0.00286,1.7992,-0.94,-3.01,8.25,19605
140,2459604.054,1.00066,0.00283,1.8066,1.42,-0.75,7.5,22712
141,2459604.054638,1.00537,0.00294,1.8142,-0.44,1.83,7.86,17159
142,2459604.055283,1.0024,0.00294,1.8218,-1.99,1.25,9.13,15140
143,2459604.055921,1.00428,0.00291,1.8295,1.82,-1.01,6.87,20703
144,2459604.056567,1.00451,0.00317,1.8374,3.02,-2.3,10.06,11344
145,2459604.057843,1.00943,0.00283,1.8533,-1.15,0.33,6.08,27659
146,2459604.058488,1.01258,0.00315,1.8614,-0.68,3.31,10.16,12660
147,2459604.059127,1.00269,0.00302,1.8697,1.43,-0.95,10.46,14188
148,2459604.059765,1.00535,0.00327,1.878,2.01,-1.16,9.96,10802
149,2459604.060411,0.99958,0.00314,1.8865,1.73,0.14,9.75,12808
150,2459604.061049,0.99953,0.00294,1.8951,-1.72,1.26,8.12,18399
151,2459604.061688,1.00116,0.00298,1.9038,-1.24,0.93,7.24,16709
152,2459604.062333,1.00621,0.00304,1.9126,4.18,-3.02,7.79,15454
153,2459604.062971,1.00668,0.00299,1.9215,1.85,-0.47,7.93,17697
