,BJD_TDB,Flux,Err
217,2459588.865242,0.99829,0.00194
218,2459588.865457,0.99921,0.00194
219,2459588.865672,0.99782,0.00194
220,2459588.86588,0.99996,0.00194
221,2459588.866095,1.00254,0.00194
222,2459588.866303,1.00176,0.00194
223,2459588.866519,1.00117,0.00194
224,2459588.866727,1.0002,0.00194
225,2459588.866942,0.99986,0.00194
226,2459588.867157,0.99937,0.00194
227,2459588.867365,1.00161,0.00194
228,2459588.86758,0.99957,0.00194
230,2459588.868003,0.99927,0.00194
231,2459588.868218,1.00025,0.00194
232,2459588.868426,0.99814,0.00194
233,2459588.868641,0.99629,0.00194
234,2459588.868849,0.99824,0.00194
235,2459588.869064,1.00011,0.00194
236,2459588.869272,0.99805,0.00194
237,2459588.869487,0.99789,0.00194
238,2459588.869724,1.00029,0.00194
239,2459588.869939,1.00158,0.00194
240,2459588.870154,0.99516,0.00193
241,2459588.870362,0.99762,0.00193
242,2459588.870577,0.99809,0.00193
243,2459588.870785,0.99823,0.00193
244,2459588.871,0.99953,0.00193
245,2459588.871209,1.00158,0.00193
246,2459588.871424,0.99986,0.00194
247,2459588.871631,0.99941,0.00193
248,2459588.871847,1.00232,0.00194
249,2459588.872061,1.00011,0.00193
250,2459588.872269,0.99977,0.00193
251,2459588.872483,0.99718,0.00193
252,2459588.872691,0.99697,0.00193
253,2459588.872906,0.99937,0.00193
254,2459588.873114,0.99872,0.00193
255,2459588.873329,0.99622,0.00193
256,2459588.873544,0.99779,0.00193
257,2459588.873751,0.99962,0.00193
258,2459588.873966,0.99438,0.00192
259,2459588.874174,0.99964,0.00193
260,2459588.874389,0.9966,0.00193
261,2459588.874604,0.99714,0.00193
262,2459588.874812,0.99805,0.00193
263,2459588.875027,0.99737,0.00193
264,2459588.875235,0.99632,0.00193
265,2459588.87545,0.99536,0.00193
266,2459588.875658,0.99813,0.00193
267,2459588.875873,0.99408,0.00192
268,2459588.876088,0.99355,0.00192
269,2459588.876295,0.99451,0.00192
270,2459588.87651,0.99012,0.00193
271,2459588.876718,0.99359,0.00193
272,2459588.876934,0.99146,0.00193
273,2459588.877149,0.99101,0.00192
274,2459588.877356,0.99371,0.00193
275,2459588.877586,0.9935,0.00193
276,2459588.8778,0.99122,0.00194
277,2459588.878015,0.98865,0.00194
278,2459588.878223,0.98773,0.00194
279,2459588.878438,0.98813,0.00194
280,2459588.878653,0.98798,0.00194
281,2459588.87886,0.99056,0.00194
282,2459588.879075,0.99073,0.00195
283,2459588.87929,0.99023,0.00194
284,2459588.879498,0.99039,0.00194
285,2459588.879712,0.98954,0.00194
286,2459588.87992,0.98777,0.00194
287,2459588.880134,0.98822,0.00193
288,2459588.880342,0.98974,0.00195
289,2459588.880557,0.98805,0.00193
290,2459588.880771,0.9881,0.00194
291,2459588.880986,0.98471,0.00195
292,2459588.881194,0.98701,0.00193
293,2459588.881409,0.98589,0.00193
294,2459588.881638,0.98838,0.00194
295,2459588.881852,0.98894,0.00194
296,2459588.882067,0.98997,0.00194
297,2459588.882274,0.98662,0.00194
298,2459588.882489,0.98689,0.00194
299,2459588.882704,0.99116,0.00194
300,2459588.882911,0.9837,0.00194
301,2459588.883126,0.9859,0.00194
302,2459588.883341,0.9873,0.00194
303,2459588.883549,0.99055,0.00196
304,2459588.883764,0.98735,0.00196
305,2459588.883971,0.98602,0.00196
306,2459588.884186,0.98795,0.00196
307,2459588.884401,0.99187,0.00197
308,2459588.884616,0.98942,0.00197
309,2459588.884824,0.98645,0.00196
310,2459588.885038,0.98525,0.00197
311,2459588.885253,0.98787,0.00196
312,2459588.885467,0.98753,0.00196
313,2459588.885675,0.98516,0.00196
314,2459588.885889,0.98808,0.00198
315,2459588.886104,0.98619,0.00196
316,2459588.886311,0.98748,0.00196
317,2459588.886526,0.98843,0.00196
318,2459588.886732,0.98599,0.00196
319,2459588.886947,0.98411,0.00194
320,2459588.887162,0.98533,0.00194
321,2459588.887369,0.98861,0.00196
322,2459588.887583,0.9859,0.00196
323,2459588.887798,0.98827,0.00196
324,2459588.888005,0.98702,0.00196
325,2459588.88822,0.98537,0.00197
326,2459588.888435,0.98786,0.00197
327,2459588.888642,0.98477,0.00196
328,2459588.888856,0.98727,0.00196
329,2459588.889071,0.98635,0.00197
330,2459588.889286,0.98675,0.00195
331,2459588.889493,0.98635,0.00196
332,2459588.889707,0.98888,0.00195
333,2459588.889915,0.9884,0.00195
334,2459588.89013,0.98476,0.00196
335,2459588.890344,0.98594,0.00196
336,2459588.890551,0.98908,0.00196
337,2459588.890766,0.99032,0.00197
338,2459588.890981,0.98979,0.00196
339,2459588.891189,0.98896,0.00196
340,2459588.891403,0.98783,0.00196
341,2459588.89161,0.9874,0.00196
342,2459588.891825,0.98722,0.00197
343,2459588.892039,0.9879,0.00197
344,2459588.892246,0.98591,0.00197
345,2459588.892461,0.9877,0.00197
346,2459588.892675,0.98654,0.00196
347,2459588.892882,0.9908,0.00195
348,2459588.893096,0.98633,0.00196
349,2459588.893311,0.98613,0.00195
350,2459588.893518,0.99229,0.00196
351,2459588.893733,0.98916,0.00197
352,2459588.893947,0.9888,0.00196
353,2459588.894161,0.98877,0.00196
354,2459588.894368,0.98836,0.00196
355,2459588.894582,0.98933,0.00195
356,2459588.89479,0.99023,0.00197
357,2459588.895004,0.98567,0.00196
358,2459588.895218,0.98959,0.00196
359,2459588.895425,0.98783,0.00196
360,2459588.89564,0.98801,0.00196
361,2459588.895876,0.98625,0.00197
362,2459588.89609,0.98795,0.00197
363,2459588.896298,0.9914,0.00198
364,2459588.896512,0.99141,0.00199
365,2459588.896719,0.9897,0.00199
366,2459588.896934,0.99149,0.00199
367,2459588.897148,0.98909,0.00199
368,2459588.897355,0.99241,0.002
369,2459588.897569,0.99067,0.00199
370,2459588.897777,0.99259,0.00199
371,2459588.897991,0.98795,0.00199
372,2459588.898205,0.98759,0.00199
373,2459588.898412,0.9899,0.00199
374,2459588.898627,0.98987,0.00199
375,2459588.898841,0.99087,0.00198
376,2459588.899055,0.99123,0.00199
377,2459588.899262,0.9894,0.00198
378,2459588.899477,0.98874,0.00198
379,2459588.899691,0.98994,0.00198
380,2459588.899898,0.98889,0.00197
381,2459588.900112,0.99505,0.00198
382,2459588.900327,0.98928,0.00197
383,2459588.900534,0.99085,0.00197
384,2459588.900747,0.99256,0.00197
385,2459588.900969,0.99511,0.00198
386,2459588.901176,0.99533,0.00198
387,2459588.90139,0.99415,0.00198
388,2459588.901604,0.9953,0.00197
389,2459588.901819,0.99627,0.00198
390,2459588.902026,0.99683,0.00198
391,2459588.90224,0.99716,0.00198
392,2459588.902454,0.99691,0.00198
393,2459588.902668,0.99888,0.00198
394,2459588.902876,0.99928,0.00198
395,2459588.90309,0.99709,0.00198
396,2459588.903304,1.00055,0.00199
397,2459588.903511,1.00011,0.002
398,2459588.903725,0.99759,0.002
399,2459588.903939,1.00119,0.00199
400,2459588.904146,1.00189,0.00199
401,2459588.904361,1.00217,0.00199
402,2459588.904575,1.00071,0.00199
403,2459588.904782,1.0012,0.00198
404,2459588.904996,0.99874,0.00198
405,2459588.905211,1.00125,0.00197
406,2459588.905418,1.00228,0.00198
407,2459588.905632,0.99754,0.00197
408,2459588.905839,1.00231,0.00197
409,2459588.906053,1.00192,0.00197
410,2459588.906267,0.99872,0.00196
411,2459588.906481,1.00245,0.00198
412,2459588.906688,0.99863,0.00197
413,2459588.906902,0.99957,0.00197
414,2459588.90711,0.99894,0.00198
415,2459588.907324,0.99627,0.00197
416,2459588.907538,0.99908,0.00197
417,2459588.907752,0.99658,0.00197
418,2459588.907959,0.99885,0.00198
419,2459588.908173,0.99843,0.00198
420,2459588.908387,1.0,0.00199
421,2459588.908601,1.00164,0.00199
422,2459588.908808,1.00059,0.00199
423,2459588.909022,0.99777,0.00198
424,2459588.909236,1.00183,0.002
425,2459588.90945,1.00015,0.00199
426,2459588.909657,1.00282,0.00201
427,2459588.909871,0.99999,0.002
428,2459588.910086,1.00077,0.00199
429,2459588.910293,0.99742,0.00198
430,2459588.910507,1.00148,0.00199
431,2459588.910721,1.00006,0.00199
432,2459588.910935,1.00212,0.002
433,2459588.911142,1.00228,0.00201
434,2459588.911356,1.00264,0.00201
435,2459588.911563,1.00152,0.002
436,2459588.911785,1.0002,0.00201
437,2459588.911992,0.99848,0.00198
438,2459588.912206,1.00113,0.002
439,2459588.91242,1.00144,0.00199
440,2459588.912627,1.00406,0.00202
441,2459588.912841,0.99734,0.002
442,2459588.913055,1.00187,0.002
443,2459588.913262,1.00073,0.00199
444,2459588.913476,1.00088,0.00202
445,2459588.91369,1.00105,0.00201
446,2459588.913897,0.9998,0.00202
447,2459588.91411,0.99936,0.00201
448,2459588.914324,1.00434,0.00201
449,2459588.914538,0.99801,0.002
450,2459588.914752,1.00077,0.00202
451,2459588.914958,1.00053,0.00202
452,2459588.915172,1.00176,0.00202
453,2459588.915386,1.00038,0.00202
454,2459588.9156,1.00165,0.00202
455,2459588.915814,0.99857,0.00201
456,2459588.916021,1.00434,0.00201
457,2459588.916235,1.00348,0.00203
458,2459588.916442,1.00223,0.002
459,2459588.916656,1.00242,0.00201
460,2459588.91687,1.00227,0.00202
461,2459588.917084,1.00425,0.00201
462,2459588.917291,1.0024,0.00201
463,2459588.917505,1.00257,0.00201
464,2459588.917719,1.00279,0.002
465,2459588.917933,1.00094,0.00201
466,2459588.91814,1.00063,0.002
467,2459588.918353,1.00123,0.00202
468,2459588.918568,1.00057,0.00201
469,2459588.918782,1.00516,0.00202
470,2459588.918988,1.0,0.00203
471,2459588.919202,1.0052,0.00201
472,2459588.919416,1.00238,0.00201
473,2459588.919623,1.0038,0.00201
474,2459588.919858,1.00701,0.00202
475,2459588.920064,1.00284,0.00202
476,2459588.920278,1.00259,0.00201
477,2459588.920492,1.00575,0.00201
478,2459588.920706,1.00449,0.00202
479,2459588.920913,1.0042,0.00201
480,2459588.921126,1.00273,0.00203
481,2459588.92134,1.00176,0.002
482,2459588.921547,1.00298,0.00201
483,2459588.921767,1.00019,0.002
484,2459588.921974,1.00031,0.00199
485,2459588.922187,1.0019,0.00199
486,2459588.922401,1.00456,0.002
487,2459588.922615,1.0029,0.00199
488,2459588.922828,0.9994,0.00199
489,2459588.923035,1.00524,0.002
490,2459588.923249,1.00253,0.00199
491,2459588.923462,1.00259,0.002
492,2459588.923669,1.00093,0.002
493,2459588.923883,1.00157,0.002
494,2459588.924096,1.00224,0.002
495,2459588.92431,1.00076,0.00199
496,2459588.924517,1.00151,0.002
497,2459588.924731,1.00127,0.002
498,2459588.924945,1.00198,0.002
499,2459588.925158,1.00284,0.002
500,2459588.925372,1.00311,0.002
501,2459588.925586,0.9999,0.00199
502,2459588.925792,0.99949,0.002
503,2459588.926006,1.00184,0.002
504,2459588.92622,1.00209,0.002
505,2459588.926433,1.00037,0.002
506,2459588.926647,0.99771,0.002
507,2459588.926854,1.00378,0.00201
508,2459588.927067,1.00115,0.00201
509,2459588.927281,1.00187,0.002
510,2459588.927488,1.00159,0.00201
511,2459588.927701,1.00398,0.00201
512,2459588.927915,1.00163,0.002
513,2459588.928128,1.00311,0.002
514,2459588.928342,1.00316,0.002
515,2459588.928555,1.00277,0.002
516,2459588.928761,1.00208,0.002
517,2459588.928975,1.0025,0.002
518,2459588.929189,1.00177,0.002
519,2459588.929401,0.99947,0.00201
520,2459588.929608,1.00335,0.002
521,2459588.929821,1.00054,0.002
522,2459588.930034,1.00347,0.002
523,2459588.930248,1.00515,0.00201
