BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2459604.049300,1.00056,0.00230,1.7543,-0.48,1.14,7.71,21567
2459604.050770,1.00118,0.00230,1.7701,2.47,-1.22,6.63,21674
2459604.051505,1.00265,0.00236,1.7782,-2.87,0.44,9.54,16455
2459604.052240,0.99686,0.00227,1.7864,0.44,0.10,5.83,24904
2459604.052988,1.00553,0.00232,1.7949,2.16,-1.23,9.28,17244
2459604.053723,0.99913,0.00228,1.8033,-0.30,-1.93,8.73,19286
2459604.054458,1.00265,0.00233,1.8119,1.03,0.71,8.66,19059
2459604.055193,0.99953,0.00235,1.8206,-1.68,1.21,8.46,16740
2459604.055928,0.99663,0.00233,1.8294,1.96,-1.39,7.38,21547
2459604.058125,1.00339,0.00235,1.8567,-0.42,0.70,6.47,26413
2459604.058860,1.00402,0.00250,1.8661,0.01,1.40,11.80,11971
2459604.059595,1.00526,0.00247,1.8756,2.19,-2.09,9.59,14958
2459604.060330,1.00559,0.00246,1.8853,1.89,-0.43,8.93,15240
2459604.061057,0.99931,0.00237,1.8951,-1.63,1.52,7.79,21565
2459604.061792,1.00083,0.00240,1.9051,-0.67,0.52,8.66,16692
2459604.062527,1.00028,0.00243,1.9152,3.99,-2.32,8.80,15683
2459604.063262,1.00448,0.00242,1.9255,0.15,0.08,8.87,16145
2459604.063997,1.00260,0.00249,1.9359,-2.43,0.75,10.71,11724
2459604.064732,1.00059,0.00254,1.9466,1.26,1.90,12.11,9876
2459604.065466,1.00426,0.00247,1.9573,3.33,-2.55,8.94,14109
2459604.066194,1.00266,0.00242,1.9683,-0.93,-0.76,7.02,21632
2459604.066929,1.00377,0.00254,1.9794,-0.27,2.10,9.03,14022
2459604.067664,1.00468,0.00247,1.9907,-0.37,1.01,10.87,13845
2459604.068399,1.00436,0.00251,2.0021,2.70,-3.26,8.19,16207
2459604.069127,0.99837,0.00251,2.0138,2.61,-1.28,9.29,13746
2459604.069862,1.00222,0.00251,2.0257,-0.56,0.63,8.77,14639
2459604.070597,1.00448,0.00255,2.0377,-0.41,1.52,11.19,11705
2459604.071332,1.00647,0.00261,2.0500,2.49,-2.46,9.02,14101
2459604.072795,1.00571,0.00250,2.0751,-1.24,0.61,8.92,15304
2459604.073530,1.00574,0.00253,2.0879,2.85,-0.81,10.28,12615
2459604.074265,1.00287,0.00254,2.1010,3.19,-1.94,9.13,13869
2459604.074993,1.00400,0.00267,2.1143,-1.66,0.73,11.77,9390
