BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460356.533678,1.00625,0.00246,1.1882,4.26,0.14,6.45,31307
2460356.533783,0.99866,0.00244,1.1886,4.14,0.84,5.70,34108
2460356.533888,1.00064,0.00246,1.1890,2.16,-0.49,8.07,25028
2460356.533994,1.00079,0.00245,1.1895,-0.45,-0.48,6.43,30177
2460356.534099,1.00221,0.00246,1.1899,-3.08,-0.67,6.40,30256
2460356.534204,1.00085,0.00246,1.1904,-5.69,-0.43,6.67,29804
2460356.534309,0.99906,0.00247,1.1908,-8.51,-0.11,7.04,26178
2460356.534413,0.99824,0.00244,1.1912,-8.62,-0.22,6.41,32963
2460356.534624,0.99846,0.00246,1.1921,0.38,0.08,6.73,30837
2460356.534729,1.00009,0.00246,1.1925,1.78,-0.10,6.09,35416
2460356.534834,0.99934,0.00245,1.1930,1.12,-0.36,6.49,31125
2460356.534940,1.00038,0.00247,1.1935,0.73,0.34,7.33,26316
2460356.535045,1.00251,0.00246,1.1939,1.48,0.41,8.69,23575
2460356.535150,1.00193,0.00246,1.1944,0.63,0.68,6.71,31150
2460356.535255,0.99816,0.00245,1.1948,1.13,0.94,6.60,31218
2460356.535361,1.00401,0.00245,1.1953,1.63,0.28,5.94,33068
2460356.535465,1.00357,0.00246,1.1957,2.30,0.82,5.68,37210
2460356.535571,1.00434,0.00246,1.1962,2.50,0.96,6.77,32014
2460356.535676,1.00123,0.00245,1.1966,3.11,1.15,7.08,29167
2460356.535782,1.00055,0.00247,1.1971,1.27,0.20,7.15,25960
2460356.535887,0.99832,0.00246,1.1975,0.43,-0.97,6.45,31641
2460356.535992,1.00333,0.00247,1.1980,-0.66,-0.57,6.76,28401
2460356.536097,0.99773,0.00245,1.1984,-2.09,-0.04,6.18,33735
2460356.536202,1.00550,0.00246,1.1988,-3.54,-0.00,6.48,29840
2460356.536307,1.00052,0.00246,1.1993,-5.03,0.14,6.44,33230
2460356.536412,1.00267,0.00246,1.1998,-1.83,-0.16,7.34,26560
2460356.536517,1.00310,0.00246,1.2002,0.70,-0.76,6.93,29626
2460356.536622,1.00300,0.00246,1.2006,2.20,-0.61,6.42,32247
2460356.536727,1.00302,0.00245,1.2011,2.57,-0.64,6.09,35881
2460356.536832,0.99736,0.00245,1.2016,2.87,-0.29,6.55,29992
2460356.536937,1.00658,0.00246,1.2021,2.69,-0.15,6.65,31949
2460356.537042,0.99701,0.00246,1.2025,0.81,-0.09,7.19,28804
2460356.537148,0.99843,0.00245,1.2029,0.17,0.22,6.66,34768
2460356.537253,1.00008,0.00246,1.2034,0.75,0.23,7.08,29701
2460356.537358,1.00301,0.00246,1.2039,1.65,0.33,6.56,31712
2460356.537463,1.00243,0.00246,1.2044,2.08,0.69,6.15,34236
2460356.537568,1.00330,0.00247,1.2048,1.91,0.68,6.04,33565
2460356.537673,1.00073,0.00246,1.2053,0.53,-0.23,6.72,31727
2460356.537779,0.99531,0.00245,1.2057,0.92,-0.43,7.18,30399
2460356.537884,1.00147,0.00246,1.2062,-0.09,-0.57,6.24,32495
2460356.537989,0.99877,0.00246,1.2067,-1.31,-0.24,7.08,29448
2460356.538094,0.99763,0.00246,1.2071,-3.08,0.03,6.25,34279
2460356.538199,0.99461,0.00246,1.2076,-4.86,0.09,5.47,35188
2460356.538304,0.99845,0.00246,1.2081,-3.31,0.09,8.45,23817
2460356.538409,1.00071,0.00246,1.2086,-1.21,-0.03,6.46,33084
2460356.538514,1.00381,0.00246,1.2090,0.26,0.63,6.49,32269
2460356.538619,1.00086,0.00246,1.2095,0.88,0.48,5.83,37235
2460356.538724,1.00064,0.00246,1.2099,0.94,0.29,6.25,32065
2460356.538829,1.00468,0.00248,1.2105,0.79,0.53,7.22,24457
2460356.538934,0.99582,0.00246,1.2109,-0.42,0.10,6.72,29135
2460356.539040,0.99921,0.00246,1.2113,-0.75,-0.10,5.57,33840
2460356.539145,1.00108,0.00246,1.2118,-0.79,-0.41,6.92,31636
2460356.539250,0.99749,0.00245,1.2124,-0.13,-0.09,6.20,37630
2460356.539355,0.99428,0.00246,1.2128,0.32,0.40,6.45,30459
2460356.539460,0.99984,0.00246,1.2133,0.83,0.40,6.30,35304
2460356.539566,0.99906,0.00246,1.2137,0.24,0.23,6.49,30610
2460356.539671,1.00283,0.00247,1.2142,0.26,0.29,5.85,38431
2460356.539776,1.00139,0.00246,1.2147,0.89,0.56,5.86,36536
2460356.539881,0.99912,0.00247,1.2152,0.55,0.61,6.23,30604
2460356.539986,0.99925,0.00247,1.2157,-0.87,0.78,6.08,33064
2460356.540092,0.99545,0.00246,1.2161,-2.88,0.92,6.10,32961
2460356.540197,1.00062,0.00247,1.2167,-2.67,0.01,5.98,34012
2460356.540302,1.00511,0.00249,1.2172,-2.17,-0.47,6.19,33366
2460356.540407,1.00046,0.00248,1.2176,-1.90,-0.93,7.92,25249
2460356.540512,1.00154,0.00248,1.2181,-0.86,-0.36,6.24,35120
2460356.540617,0.99818,0.00246,1.2186,-1.27,0.06,6.22,33340
2460356.540722,1.00058,0.00247,1.2191,-1.87,-0.11,6.55,33488
2460356.540828,1.00290,0.00247,1.2196,-2.15,0.06,6.70,32520
2460356.540933,0.99948,0.00248,1.2201,-2.47,0.35,6.80,29873
2460356.541038,1.00115,0.00247,1.2205,-2.67,0.75,6.66,31999
2460356.541143,0.99865,0.00247,1.2210,-2.36,0.99,7.27,28418
2460356.541248,1.00143,0.00246,1.2215,-2.27,0.64,5.74,34459
