ariel_idx,muscat_idx,sep_arcsec,ariel_name,ariel_tic,ariel_ra,ariel_dec,muscat_name,muscat_id,muscat_ra,muscat_dec
1318,670,0.4902725391753931,TOI-5967,369532319,338.574347,33.823466,TOI05967.01,2113,338.57435416667,33.823594444444
1153,404,0.5067136449479727,TOI-5291,250983039,338.733227,-11.363238,TOI05291.01,1296,338.73320833333,-11.363238888889
1073,520,0.5104295408814752,TOI-6650,64837857,338.805332,54.773557,TOI6650-b,2831,338.80525,54.773558333333
1379,766,0.5274905973150598,TOI-6650,64837857,338.805332,54.773557,TOI6650-b,2831,338.80525,54.773558333333
1742,774,0.5505572178937296,TOI-6650,64837857,338.805332,54.773557,TOI6650-b,2831,338.80525,54.773558333333
1783,652,0.5687090041940129,TOI-6650,64837857,338.805332,54.773557,TOI6650-d,2832,338.80525,54.773558333333
1137,151,0.5747813793337012,TOI-6650,64837857,338.805332,54.773557,TOI6650-d,2832,338.80525,54.773558333333
1676,238,0.5749806680577193,TOI-6650,64837857,338.805332,54.773557,TOI6650-d,2832,338.80525,54.773558333333
177,182,0.5755456194314345,TOI-6650,64837857,338.805332,54.773557,TOI6650-e,2833,338.80525,54.773558333333
1379,765,0.5815026289756229,TOI-6650,64837857,338.805332,54.773557,TOI6650-e,2833,338.80525,54.773558333333
1744,18,0.5869857224743161,TOI-6650,64837857,338.805332,54.773557,TOI6650-e,2833,338.80525,54.773558333333
1658,257,0.6149332818118884,TOI-6650,64837857,338.805332,54.773557,TOI6650-f,2834,338.80525,54.773558333333
1326,724,0.6265087354680994,TOI-6650,64837857,338.805332,54.773557,TOI6650-f,2834,338.80525,54.773558333333
1683,425,0.6588847811059261,TOI-6650,64837857,338.805332,54.773557,TOI6650-f,2834,338.80525,54.773558333333
1747,735,0.6706171848606438,TOI-6650,64837857,338.805332,54.773557,TOI6650-g1,2835,338.80525,54.773558333333
1710,679,0.7019984542360462,TOI-6650,64837857,338.805332,54.773557,TOI6650-g1,2835,338.80525,54.773558333333
1234,445,0.732966795409533,TOI-6650,64837857,338.805332,54.773557,TOI6650-g1,2835,338.80525,54.773558333333
1235,361,0.7593463861925461,TOI-6650,64837857,338.805332,54.773557,TOI6650-g2,2836,338.80525,54.773558333333
1740,750,0.7813857881845014,TOI-6650,64837857,338.805332,54.773557,TOI6650-g2,2836,338.80525,54.773558333333
897,82,0.7827065045694634,TOI-6650,64837857,338.805332,54.773557,TOI6650-g2,2836,338.80525,54.773558333333
1707,662,0.8011968312275741,TOI-5964,200606159,339.474237,44.965228,TOI05964.01,1422,339.47425,44.965227777778
1107,4,0.8694934319385053,TOI-7163,343774169,341.716965,54.011837,TOI07163.01,2816,341.71660833333,54.011780555556
1179,201,0.9614008654999955,TOI-7160,154264903,342.052268,47.170483,TOI07160.01,2814,342.05233333333,47.170508333333
1055,219,1.0211996104614558,TOI-7119,420383981,344.8819,54.888207,TOI07119.01,2801,344.8818875,54.888197222222
1152,311,1.0682259744663551,TOI-6135,100909102,347.979723,33.047612,WASP-155,140,347.97954166667,33.047666666667
39,436,1.1378016242742315,TOI-6135,100909102,347.979723,33.047612,TOI06135.01,2160,347.979625,33.047733333333
702,395,1.433272465732614,TOI-5968,431810418,349.267516,31.353989,TOI05968.01,2114,349.26755,31.353913888889
869,97,1.5501049700760068,TOI-7134,269102377,349.385015,63.768479,TOI07134.01,2806,349.3849,63.768475
869,98,1.5501049700760068,TOI-7169,372048733,351.05469,36.817566,TOI07169.01,2848,351.05450416667,36.817530555556
870,97,1.5501049700760068,TOI-7174,25472026,351.681768,50.052375,TOI07174.01,2851,351.6817625,50.052425
870,98,1.5501049700760068,TOI-1538,177244357,356.995693,47.655601,TOI01538.01,1625,356.99575833333,47.655686111111
