BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2459604.007787,0.90371,0.00248,1.4531,-0.98,-1.84,5.52,35515
2459604.008430,0.90367,0.00246,1.4561,1.48,-2.24,5.17,39168
2459604.009066,0.89900,0.00245,1.4591,-0.94,-1.01,5.58,38963
2459604.009708,0.90244,0.00247,1.4623,-0.33,0.66,4.75,38953
2459604.010351,0.90011,0.00245,1.4654,-1.05,0.18,5.79,38262
2459604.010987,0.90102,0.00247,1.4686,-1.03,1.77,5.15,39430
2459604.011630,0.89694,0.00246,1.4718,1.44,-3.12,5.87,34007
2459604.012273,0.90189,0.00244,1.4751,-0.40,-2.39,4.35,51261
2459604.012915,0.90046,0.00248,1.4784,1.14,-0.65,5.38,36514
2459604.013550,0.89246,0.00246,1.4817,-2.22,1.07,5.02,39075
2459604.014193,0.89607,0.00245,1.4851,0.46,0.38,5.04,43509
2459604.014835,0.89635,0.00247,1.4885,-1.18,0.72,5.23,36901
2459604.015478,0.89944,0.00249,1.4920,2.40,-2.35,6.20,32464
2459604.016113,0.90028,0.00247,1.4955,0.22,-1.73,5.48,37623
2459604.016756,0.89761,0.00248,1.4991,0.01,-2.33,5.63,36509
2459604.017398,0.89540,0.00246,1.5027,-0.58,0.97,5.14,38711
2459604.018041,0.89908,0.00248,1.5064,-2.64,0.05,5.74,35834
2459604.018676,0.89793,0.00248,1.5101,0.29,1.31,5.30,36054
2459604.019318,0.89878,0.00246,1.5139,0.27,-2.26,5.68,35063
2459604.019960,0.90015,0.00250,1.5177,2.17,-2.64,5.52,37845
2459604.020601,0.89928,0.00249,1.5215,-0.76,-1.56,5.40,37428
2459604.021243,0.89949,0.00250,1.5254,-1.11,0.89,5.68,32885
2459604.021885,0.90282,0.00246,1.5294,0.04,-1.18,5.28,46172
2459604.022520,0.90434,0.00247,1.5334,-1.64,0.32,5.08,43479
2459604.023161,0.90154,0.00249,1.5374,3.47,-2.93,6.19,31955
2459604.023803,0.90333,0.00249,1.5415,-0.73,-2.03,5.57,35283
2459604.024445,0.90200,0.00249,1.5457,0.86,-0.96,5.14,37245
2459604.025086,0.90276,0.00250,1.5499,-1.40,0.51,5.08,37028
2459604.025728,0.90708,0.00253,1.5542,-1.68,-0.21,5.22,35804
2459604.026369,0.90337,0.00253,1.5585,0.47,0.46,5.86,30609
2459604.027010,0.90842,0.00255,1.5628,0.76,-3.45,5.74,32129
2459604.027644,0.90988,0.00252,1.5673,1.49,-0.79,5.67,35673
2459604.028291,0.90883,0.00255,1.5718,-1.35,-0.40,6.79,25219
2459604.028931,0.91189,0.00252,1.5763,-1.83,0.04,5.63,33379
2459604.029565,0.91411,0.00254,1.5808,-0.10,1.22,5.69,30873
2459604.030206,0.92096,0.00254,1.5855,-0.10,-1.98,6.24,29061
2459604.030847,0.92394,0.00253,1.5902,1.51,-2.81,5.36,32484
2459604.031488,0.93189,0.00256,1.5950,1.41,-1.27,5.66,32847
2459604.032129,0.93615,0.00256,1.5998,-2.82,1.09,6.33,27631
2459604.032770,0.93827,0.00258,1.6047,0.27,0.76,5.97,30016
2459604.033411,0.94892,0.00270,1.6096,-1.15,0.71,7.79,20743
2459604.034051,0.95180,0.00262,1.6146,2.12,-3.79,6.31,27884
