,star,teff,eteff,logg,elogg,vsini,evsini,rad,prot,smwo,esmwo,logrphk,elogrphk,emission
98,TOI-421,5466.0,130.0,4.49,0.05,1.6,0.3,0.875248,23.992404790069077,0.18358518633378296,0.0004966757773301611,-4.878494606871009,0.4328431699302096,True
99,TOI-431,4686.0,144.0,4.5,0.06,1.6,1.3,0.817795,22.256378645107283,0.43849928813320627,0.00137389152150271,-4.678708151779217,0.07861209952480556,True
100,TOI-451,5530.0,60.0,4.52,0.03,8.2,0.2,0.847792,4.559094666742183,0.4959446280121361,0.00389843606511562,-4.26175023057844,0.05216689440043937,True
101,TOI-561,5548.0,134.0,4.49,0.05,0.0,0.0,0.830349,inf,0.17804480747612195,0.0010595566131468854,-4.874742919987556,0.4873022984411681,True
102,TOI-628,6116.0,74.0,4.24,0.03,6.5,0.1,1.393289,9.417648977819152,0.21006496988114368,0.0022949622368017126,-4.597954482964034,0.1916372409666841,False
103,TOI-824,4716.0,136.0,4.59,0.06,2.4,0.4,0.691893,12.60225916775004,0.4452863260866078,0.007615429041894495,-4.657078166684149,0.07558796357620144,True
104,TOI-954,5842.0,95.0,4.03,0.03,4.0,0.2,1.853566,20.402347833657835,0.13254600289960752,0.0020478174254783587,-5.0587980881145045,0.6720229842715872,False
105,TrES-2,5754.0,86.0,4.37,0.04,1.6,0.6,1.063166,28.84627355102441,0.16469761407152392,0.0021351172192978253,-4.875232159837515,0.3778032756038827,False
106,V1298Tau,5100.0,27.0,4.18,0.01,24.8,0.6,1.2379,2.1573486399898685,1.2734739592414157,0.006602676380118279,-3.979783941124815,0.00801294088666115,True
107,WASP-101,6202.0,81.0,4.27,0.13,12.9,0.2,1.388292,4.655311182873096,0.20658700618548553,0.006198003791071526,-4.592824887765345,0.20379020474428824,False
108,WASP-105,5312.0,123.0,4.36,0.05,2.3,0.4,1.062677,20.11462646799151,0.1736495793193772,0.002083906421662625,-4.973446051517611,0.4124802648544236,
109,WASP-106,6259.0,3.0,4.22,0.11,6.9,0.2,1.39461,9.189687982349486,0.1421616677274803,0.009124537947061398,-4.899929773652614,0.016159495177229345,False
