Host	TOI	URL	Cluster/	Age	Age_median	Age-dating method	exofop url	Discovery Ref.	Nplanets	multi?	Mass ref.	spec inst	Nplanet with mass	Atm ref.	TTV ref	Obliq. ref	RM/DT instrument	exofop_url_json	RA	DEC	TESS	Host Teff	Host radius	Host radius err	Host mass	Vsini	amenable for RM	distance	sectors	Kepler/K2 era?	Prot	LiEW	logR'_HK	B-V	Is Tmag<13?	Is in South?	Is <100 pc?	South & <100pc?
Kepler-1529		https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1529	field	50-150	100	gyro+Li	https://exofop.ipac.caltech.edu/tess/target.php?id=Kepler-1529	Bouma+2024b	1	0								https://exofop.ipac.caltech.edu/tess/target.php?id=Kepler-1529&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...		1					Loading...	Loading...	Loading...	Loading...
TIC43439883		https://exoplanetarchive.ipac.caltech.edu/overview/TIC43439883	Theia 116	55-67	61	cluster/LiEW, Prot	https://exofop.ipac.caltech.edu/tess/target.php?id=TIC43439883	Vach+2024b	2	1								https://exofop.ipac.caltech.edu/tess/target.php?id=TIC43439883&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...		0					Loading...	Loading...	Loading...	Loading...
TOI-942	TOI-942	https://exoplanetarchive.ipac.caltech.edu/overview/TOI-942	field	30-75	52.5	Li	https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-942	Carleo+2020	2	1						Wirth+2021		https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-942&json	Loading...	Loading...	11.05	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					1	Loading...	Loading...	Loading...
TOI-942				20-160	90			Zhou+2021								Teng+2024				Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...									
HIP94235	TOI-4399	https://exoplanetarchive.ipac.caltech.edu/overview/HIP94235	AB Dorados	50-150	100	cluster	https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-4399	Zhou+2022	1	0				Morissey+2025				https://exofop.ipac.caltech.edu/tess/target.php?id=HIP94235&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
HIP94235														Morissey+2024																								
TOI-251	TOI-251	https://exoplanetarchive.ipac.caltech.edu/overview/TOI-251	field	40-320	180	gyro+Li+Ca	https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-251	Zhou+2021	1	0								https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-251&json	353.062065548519	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
TOI-251								Sun+2023																Loading...														
Kepler-970		https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-970	MELANGE-3	95-115	105	cluster	https://exofop.ipac.caltech.edu/tess/target.php?id=Kepler-970	Barber+2022	1	0								https://exofop.ipac.caltech.edu/tess/target.php?id=Kepler-970&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...		1					Loading...	Loading...	Loading...	Loading...
Kepler-1928		https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1928	MELANGE-3, HSC_572	95-115	105	cluster	https://exofop.ipac.caltech.edu/tess/target.php?id=Kepler-1928	Barber+2022	1	0								https://exofop.ipac.caltech.edu/tess/target.php?id=Kepler-1928&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...		1					Loading...	Loading...	Loading...	Loading...
