BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460356.535150,1.00217,0.00236,1.1944,1.06,0.65,6.98,16754
2460356.535255,1.00155,0.00235,1.1948,1.47,0.98,6.63,19313
2460356.535360,1.00654,0.00236,1.1953,2.03,0.45,6.13,19965
2460356.535466,1.00491,0.00235,1.1957,3.00,0.91,5.78,21992
2460356.535571,1.00135,0.00235,1.1962,3.02,1.05,6.67,19845
2460356.535676,1.00222,0.00235,1.1966,3.71,0.94,7.42,18056
2460356.535781,1.00088,0.00236,1.1971,1.87,0.62,7.26,14174
2460356.535887,1.00502,0.00237,1.1975,0.98,-0.78,6.44,18512
2460356.535992,1.00666,0.00237,1.1980,0.02,-0.23,7.12,15727
2460356.536097,0.99972,0.00235,1.1984,-1.76,-0.05,6.19,18438
2460356.536202,1.00264,0.00236,1.1988,-2.93,-0.02,6.63,18194
2460356.536306,1.00045,0.00236,1.1993,-4.77,0.67,6.69,18686
2460356.536412,1.00216,0.00236,1.1998,-1.53,0.13,7.59,13973
2460356.536517,1.00034,0.00236,1.2002,0.89,-0.39,7.44,17396
2460356.536622,1.00154,0.00236,1.2006,2.43,-0.44,6.77,18722
2460356.536727,1.00496,0.00236,1.2012,3.02,-0.47,6.44,20168
2460356.536832,1.00151,0.00236,1.2016,3.28,-0.16,6.90,17659
2460356.536937,0.99965,0.00235,1.2021,3.10,0.02,7.08,19672
2460356.537042,1.00153,0.00236,1.2025,1.17,-0.07,7.40,15488
2460356.537147,1.00126,0.00235,1.2029,0.39,-0.08,6.36,21098
2460356.537253,1.00274,0.00236,1.2034,1.25,0.12,7.25,17338
2460356.537358,1.00386,0.00236,1.2039,2.00,0.40,6.44,18361
2460356.537463,1.00005,0.00236,1.2044,2.45,0.90,6.37,19976
2460356.537568,1.00235,0.00236,1.2048,2.16,0.57,6.11,19106
2460356.537673,1.00418,0.00236,1.2053,0.87,-0.22,6.67,17781
2460356.537779,1.00088,0.00235,1.2057,1.30,-0.75,7.18,18385
2460356.537884,0.99892,0.00236,1.2062,0.20,-0.09,6.53,18402
2460356.537989,0.99750,0.00236,1.2067,-0.91,0.01,7.50,16509
2460356.538094,1.00123,0.00236,1.2071,-2.76,0.27,6.27,19886
2460356.538199,0.99685,0.00236,1.2076,-4.58,0.43,5.70,19578
2460356.538304,0.99765,0.00236,1.2081,-2.85,0.38,8.47,11401
2460356.538409,1.00078,0.00236,1.2086,-0.81,0.43,6.49,20439
2460356.538514,1.00423,0.00236,1.2090,0.78,0.61,6.95,18101
2460356.538619,1.00182,0.00236,1.2095,1.19,0.72,6.10,21069
2460356.538724,1.00226,0.00237,1.2099,1.16,0.71,6.47,18723
2460356.538829,1.00067,0.00237,1.2105,1.12,0.68,7.13,14019
2460356.538934,1.00277,0.00237,1.2109,0.17,0.21,7.19,15993
2460356.539039,0.99860,0.00236,1.2113,-0.28,-0.11,5.88,21742
2460356.539145,1.00287,0.00236,1.2118,-0.18,-0.36,7.08,18580
2460356.539250,1.00287,0.00236,1.2124,0.28,0.08,6.21,22462
2460356.539355,1.00075,0.00236,1.2128,0.62,0.53,6.61,18879
2460356.539460,0.99985,0.00235,1.2133,1.27,0.28,6.28,19912
2460356.539566,1.00227,0.00236,1.2137,0.65,0.33,6.45,18896
2460356.539671,1.00206,0.00237,1.2142,0.49,0.51,6.14,23148
2460356.539776,0.99939,0.00236,1.2147,1.38,0.66,6.22,20408
2460356.539881,1.00406,0.00237,1.2152,0.93,0.60,6.55,16541
2460356.539986,0.99921,0.00236,1.2157,-0.71,0.77,6.40,19352
2460356.540092,0.99964,0.00236,1.2161,-2.40,1.07,6.25,19530
2460356.540197,1.00125,0.00236,1.2167,-2.14,0.16,6.12,18179
2460356.540302,1.00085,0.00237,1.2172,-1.64,-0.28,6.35,19429
2460356.540407,1.00176,0.00238,1.2176,-1.25,-0.92,7.87,13948
2460356.540512,1.00451,0.00238,1.2181,-0.26,-0.35,6.37,20253
2460356.540617,1.00265,0.00237,1.2186,-0.87,-0.05,6.02,21448
2460356.540722,0.99998,0.00236,1.2191,-1.35,-0.24,6.62,19291
2460356.540828,0.99889,0.00237,1.2196,-1.84,0.40,6.45,19853
2460356.540933,0.99884,0.00237,1.2201,-2.08,0.75,7.16,16226
2460356.541038,0.99582,0.00236,1.2205,-2.39,0.68,6.78,17857
2460356.541143,1.00219,0.00237,1.2210,-2.15,0.96,7.70,14704
2460356.541248,0.99762,0.00236,1.2215,-1.76,0.74,6.21,18257
2460356.541353,1.00262,0.00237,1.2220,-1.91,1.01,6.26,20243
2460356.541458,0.99861,0.00237,1.2225,-0.61,-0.23,7.05,14919
2460356.541563,0.99704,0.00236,1.2230,0.52,-0.38,6.10,19256
2460356.541669,1.00576,0.00239,1.2235,1.27,-0.95,6.43,18132
2460356.541774,0.99748,0.00237,1.2240,1.27,-0.63,7.25,16324
2460356.541879,0.99890,0.00237,1.2244,0.30,-0.47,6.72,16426
2460356.541984,1.00407,0.00238,1.2249,-0.46,-0.16,6.46,17173
2460356.542089,1.00342,0.00238,1.2254,-1.47,0.23,6.36,18947
2460356.542195,1.00039,0.00237,1.2260,-1.75,0.25,6.52,18158
2460356.542300,0.99533,0.00236,1.2265,-0.50,-0.14,6.97,18314
2460356.542405,1.00248,0.00237,1.2269,0.70,0.47,6.24,19193
2460356.542510,1.00309,0.00237,1.2274,0.77,0.89,6.39,23052
2460356.542615,1.00288,0.00237,1.2280,-0.20,1.12,6.49,21361
