muscat_object,instruments,n_frames,ariel_name,period_d,depth_ppm,age,rotation_period,tess_mag,sep_arcsec
TOI-663c,muscat,1616,TOI-663b,2.598902,0.165215359,,30.0,11.7602,157.3504139173362
TOI-663c,muscat,1616,TOI-663c,4.6955507,0.163762926,,30.0,11.7602,157.3504139173362
HATP23,muscat,2436,HAT-P-23b,1.212886386,1.0536,4.0,,11.734,160.47332448889648
HAT-P-15,muscat,1497,HAT-P-15b,10.8634511,1.070947817,6.8,,11.0878,163.8237849100625
HAT-P-6_diffAB,muscat,600,HAT-P-6b,3.85299775,0.8255,2.3,,9.995771,164.08007960578965
TOI-3884,"muscat3, sinistro",6299,TOI-3884b,4.544586,3.810190558,,,12.9113,166.19187093400578
TOI1803.02,muscat,1576,TOI-1803c,12.885779,0.302580639,1.4,13.659,11.1476,167.90071543385307
TOI1803.02,muscat,1576,TOI-1803b,6.293287,0.146983617,1.4,13.659,11.1476,167.90071543385307
HAT-P-1,muscat3,6386,HAT-P-1b,4.46530059,1.233792718,2.7,,9.76031,168.99090116267556
TOI01248.01,muscat,2852,TOI-1248b,4.3601561,0.516416457,5.5,,11.1153,169.3857882205074
HAT-P-6_diffB,muscat,432,HAT-P-6b,3.85299775,0.8255,2.3,,9.995771,169.77776563480396
WASP-94A,muscat4,159,WASP-94Ab,3.95020155,1.2,2.7,,9.6433,170.227073311272
GJ3470,muscat,8618,GJ3470b,3.33665245,0.548707138,2.5,21.54,10.2479,170.93217837303592
WASP-12,muscat,1757,WASP-12b,1.091418859,1.389,3.05,,11.0967,172.22831585064318
HIP67522,"muscat4, sinistro",24559,HIP67522c,14.334892,0.277958033,0.017,1.418,9.1871,176.0901086361583
HIP67522,"muscat4, sinistro",24559,HIP67522b,6.959503,0.44021833,0.017,1.418,9.1871,176.0901086361583
TOI544,muscat,246,TOI-544b,1.548351,0.088187061,9.0,19.343,9.6504,176.24397635630447
HAT-P-29,muscat,1447,HAT-P-29b,5.72336883,0.782,2.2,,11.2791,176.26268429427276
IRAS04125,muscat3,6558,IRAS04125+2902b,8.834978,0.460962823,0.0033,11.31,12.8131,176.7907678342255
TRAPPIST-1d,muscat,363,TRAPPIST-1f,9.20669,0.6465,,,13.8529,176.7958422652689
TRAPPIST-1d,muscat,363,TRAPPIST-1c,2.4218233,0.7123,,1.4,13.8529,176.7958422652689
TRAPPIST-1d,muscat,363,TRAPPIST-1d,4.04961,0.3676,7.6,3.3,13.8529,176.7958422652689
TRAPPIST-1d,muscat,363,TRAPPIST-1e,6.099615,0.5012,,,13.8529,176.7958422652689
TRAPPIST-1d,muscat,363,TRAPPIST-1g,12.35294,0.7555,,,13.8529,176.7958422652689
TRAPPIST-1d,muscat,363,TRAPPIST-1h,18.767,0.3375,,,13.8529,176.7958422652689
TRAPPIST-1d,muscat,363,TRAPPIST-1b,1.5108708,0.7378,,1.4,13.8529,176.7958422652689
wasp77ab,"muscat3, sinistro",14824,WASP-77Ab,1.360028897,1.783,6.2,15.4,9.62713,179.09377952283648
WASP-92,muscat2,1794,WASP-92b,2.17467324,1.254,2.29,10.07,12.423,180.19554566818763
XO-2,muscat,1984,XO-2Nb,2.61585974,1.104869384,6.5,28.6,10.4467,184.25221958595438
WASP3,muscat,312,WASP-3b,1.84683512,1.11,2.1,,10.1058,188.25799568119956
TOI02136,muscat3,2108,TOI-2136b,7.851949,0.343769318,4.6,82.56,11.7371,191.65209304495303
HAT-P-1b,muscat,756,HAT-P-1b,4.46530059,1.233792718,2.7,,9.76031,192.55961566251463
Kepler-12,muscat2,6032,Kepler-12b,4.4379627,1.477228789,4.0,,12.9614,192.5865519459499
TRAPPIST,muscat,823,TRAPPIST-1b,1.5108708,0.7378,,1.4,13.8529,193.8927408901294
TRAPPIST,muscat,823,TRAPPIST-1h,18.767,0.3375,,,13.8529,193.8927408901294
TRAPPIST,muscat,823,TRAPPIST-1c,2.4218233,0.7123,,1.4,13.8529,193.8927408901294
TRAPPIST,muscat,823,TRAPPIST-1f,9.20669,0.6465,,,13.8529,193.8927408901294
TRAPPIST,muscat,823,TRAPPIST-1e,6.099615,0.5012,,,13.8529,193.8927408901294
TRAPPIST,muscat,823,TRAPPIST-1d,4.04961,0.3676,7.6,3.3,13.8529,193.8927408901294
TRAPPIST,muscat,823,TRAPPIST-1g,12.35294,0.7555,,,13.8529,193.8927408901294
HAT-P-32b,"muscat, muscat2",17737,HAT-P-32b,2.150008096,2.216,2.7,,10.7696,194.31945473595107
TOI736.02,muscat,955,LP791-18d,2.753436,0.270243493,0.5,,13.5571,194.7223256406378
TOI736.02,muscat,955,LP791-18c,4.9899163,1.570712281,0.5,,13.5571,194.7223256406378
TOI736.02,muscat,955,LP791-18b,0.948005,0.360562865,0.5,,13.5571,194.7223256406378
K2-146,muscat,900,K2-146b,2.6698,0.347350228,5.0,,13.7247,196.2556781367152
TOI4860,muscat3,1062,TOI-4860b,1.5227591,4.885244267,,,13.7726,196.3329829755795
WASP-35,"muscat3, muscat4",9953,WASP-35b,3.1615687,1.5,5.0,,10.4408,198.58072611705518
WASP33,muscat,23212,WASP-33b,1.21987081,1.285192113,,,7.87611,200.61777261690438
TIC434398831,sinistro,471,TIC434398831c,6.210291,0.322424224,0.061,1.75,11.311,200.954227818378
TIC434398831,sinistro,471,TIC434398831b,3.685504,0.125321359,0.061,1.75,11.311,200.954227818378
TOI-6251,muscat3,6443,Gliese12b,12.761418,0.103517277,7.0,85.0,10.1769,203.48663435776433
TOI-1452,muscat3,5318,TOI-1452b,11.06201,0.309,,,12.295,203.585644777351
TOI-6963,sinistro,159,IRAS04125+2902b,8.834978,0.460962823,0.0033,11.31,12.8131,206.28568947317046
TOI-1685,muscat3,2166,TOI-1685b,0.6691416,0.100347433,1.3,18.66,11.1117,209.3304963172881
TOI488,muscat,2964,GJ3473b,1.1980035,0.10135112,,168.3,11.1972,209.9086606975542
TOI-5799,sinistro,1246,TOI-5799b,4.164753,0.206,7.0,,11.1798,212.64537984042997
TOI-5799,sinistro,1246,TOI-5799c,14.010449,0.252670125,9.6,,11.1798,212.64537984042997
TOI-1835,muscat3,6675,HD110067b,9.113678,0.065513615,8.1,,7.6621,214.0499072220641
TOI-1835,muscat3,6675,HD110067f,41.05854,0.091572891,8.1,,7.6621,214.0499072220641
TOI-1835,muscat3,6675,HD110067c,13.673694,0.077188902,8.1,,7.6621,214.0499072220641
TOI-1835,muscat3,6675,HD110067d,20.519617,0.110099479,8.1,,7.6621,214.0499072220641
EPIC68333,muscat,2386,K2-198b,17.042881,0.224446894,,,10.4556,215.75888825260816
TOI-1803,muscat3,2109,TOI-1803c,12.885779,0.302580639,1.4,13.659,11.1476,216.10078564961427
TOI-1803,muscat3,2109,TOI-1803b,6.293287,0.146983617,1.4,13.659,11.1476,216.10078564961427
WASP-135b,muscat,1439,WASP-135b,1.40137944,1.94,0.6,,12.4197,217.0957434479142
K2-100,"muscat3, muscat4",2097,K2-100b,1.673916,0.065592412,0.79,4.3,10.0121,219.28919046539252
TOI01826.01,muscat2,10649,HAT-P-59b,4.14197813,1.09307414,7.3,,11.2086,219.95553472857156
WASP-43,"muscat2, muscat3",6951,WASP-43b,0.813474057,2.444873164,7.0,15.6,11.1184,220.26295359547183
TOI01472.01,muscat,2453,TOI-1472b,6.36338574,0.196123419,3.1,,10.5508,222.54620015568997
HIP41378,"muscat, muscat2, muscat3, sinistro",23094,HIP41378f,542.07975,0.446150538,4.279,,8.4642,227.22715505955836
CON2021A-003,muscat3,797,TOI-663c,4.6955507,0.163762926,,30.0,11.7602,227.33735447991765
CON2021A-003,muscat3,797,TOI-663b,2.598902,0.165215359,,30.0,11.7602,227.33735447991765
HATS-2,muscat4,1376,HATS-2b,1.354133611,1.897323547,9.7,22.46,12.7492,228.50975007645974
KELT17,muscat,4999,KELT-17b,3.08018045,0.907,0.65,,9.02097,230.63864082559252
HAT-P-49b,muscat,1630,HAT-P-49b,2.69155608,0.55180785,1.5,,9.93225,230.6478887406242
Qatar2,muscat,1202,WASP-43b,0.813474057,2.444873164,7.0,15.6,11.1184,231.28331830964368
TOI-2134c,muscat,7898,TOI-2134b,9.2292005,0.120990351,3.8,45.78,7.7945,233.38231209552882
TOI-2134c,muscat,7898,TOI-2134c,95.5,0.883720621,3.8,45.78,7.7945,233.38231209552882
TOI01862.01,muscat2,3637,WASP-150b,5.644213,0.44,2.95,,11.5429,233.75506173030433
WASP-96,muscat4,1103,WASP-96b,3.42525672,1.376224475,5.2,20.16,11.9116,233.76539159647785
V1298_Tau,muscat,35687,V1298Taub,24.1396,0.5,0.023,2.865,9.4901,234.3650055028755
TOI509,muscat,6236,HD63935b,9.0588586,0.08170409,6.8,,7.9259,234.91595432125092
TOI-782,muscat3,1683,TOI-782b,8.0240015,0.368328692,,65.257,12.2875,236.00034305946446
WASP-148,"muscat2, muscat3",3966,WASP-148b,8.803812,0.678327885,3.6,26.0,11.5906,238.23719867118453
KELT-23A,muscat3,8630,KELT-23Ab,2.25528757,1.864,6.4,,9.76703,241.09099110833785
HIP 67522,"muscat4, sinistro",4929,HIP67522b,6.959503,0.44021833,0.017,1.418,9.1871,242.99616821917706
HIP 67522,"muscat4, sinistro",4929,HIP67522c,14.334892,0.277958033,0.017,1.418,9.1871,242.99616821917706
TOI4599,muscat3,3443,HD260655c,5.7060824,0.102492924,5.0,37.5,7.89863,243.8432364702807
TOI4599,muscat3,3443,HD260655b,2.7694913,0.067058366,5.0,37.5,7.89863,243.8432364702807
TOI-1730,"muscat3, sinistro",34679,LHS1903c,6.226185,0.121,7.08,40.8,10.3595,244.5673194601615
TOI1634,muscat,2413,TOI-1634b,0.989343,0.1323,,77.0,11.0136,245.7918851290505
TOI-736c,muscat,1856,LP791-18b,0.948005,0.360562865,0.5,,13.5571,246.29049236810167
TOI-736c,muscat,1856,LP791-18c,4.9899163,1.570712281,0.5,,13.5571,246.29049236810167
TOI-736c,muscat,1856,LP791-18d,2.753436,0.270243493,0.5,,13.5571,246.29049236810167
TOI-6963b,muscat,4299,IRAS04125+2902b,8.834978,0.460962823,0.0033,11.31,12.8131,249.32212258907592
TOI01430.01,muscat2,1252,HD235088b,7.4341319,0.055400201,0.7,12.17,8.3879,252.29062002514556
TOI04481.01,muscat,4358,GJ806b,0.9263237,0.086707218,5.0,41.4,8.72762,252.33664210114333
TRAPPIST-1,"muscat, muscat2, muscat3, muscat4",18198,TRAPPIST-1b,1.5108708,0.7378,,1.4,13.8529,253.72854027665977
TRAPPIST-1,"muscat, muscat2, muscat3, muscat4",18198,TRAPPIST-1e,6.099615,0.5012,,,13.8529,253.72854027665977
TRAPPIST-1,"muscat, muscat2, muscat3, muscat4",18198,TRAPPIST-1f,9.20669,0.6465,,,13.8529,253.72854027665977
