BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460356.542616,0.99865,0.00225,1.2280,0.13,0.95,7.77,33138
2460356.542721,1.00095,0.00226,1.2285,-0.23,-0.16,8.34,28771
2460356.542826,0.99831,0.00225,1.2290,-1.20,-0.54,8.49,32319
2460356.542931,0.99857,0.00226,1.2294,-1.69,-0.49,9.02,25539
2460356.543036,1.00298,0.00226,1.2299,-1.94,0.14,8.64,25410
2460356.543141,0.99938,0.00227,1.2304,-0.78,-0.06,7.73,27111
2460356.543246,1.00491,0.00226,1.2310,-0.57,-0.18,8.23,29330
2460356.543352,0.99959,0.00225,1.2314,0.80,0.34,8.38,29374
2460356.543457,1.00489,0.00226,1.2319,0.96,0.12,7.65,32672
2460356.543562,0.99963,0.00226,1.2325,2.24,0.69,8.87,28361
2460356.543667,0.99697,0.00226,1.2330,2.95,0.66,8.12,27305
2460356.543772,1.00233,0.00226,1.2335,3.27,0.61,8.14,32949
2460356.543877,0.99687,0.00225,1.2340,1.91,0.57,8.60,31159
2460356.543982,0.99700,0.00225,1.2345,-0.16,0.10,7.38,34937
2460356.544087,1.00076,0.00226,1.2350,-1.67,0.07,8.40,27160
2460356.544192,1.00213,0.00226,1.2356,-0.64,0.08,7.93,32237
2460356.544297,1.00106,0.00225,1.2360,0.58,0.24,7.59,32671
2460356.544402,1.00147,0.00226,1.2365,1.56,0.03,8.01,29481
2460356.544507,0.99617,0.00226,1.2371,1.44,0.24,7.81,28850
2460356.544612,0.99859,0.00226,1.2376,-0.09,-0.71,7.11,33239
2460356.544717,1.00317,0.00226,1.2381,-0.40,-0.48,6.20,37841
2460356.544822,0.99708,0.00225,1.2386,-0.92,-0.34,7.65,34024
2460356.544928,1.00086,0.00226,1.2391,-1.01,-0.09,7.80,32148
2460356.545033,1.00068,0.00227,1.2396,-0.13,-0.25,9.09,26414
2460356.545138,1.00178,0.00226,1.2402,0.74,-0.03,7.33,34944
2460356.545243,1.00145,0.00227,1.2407,0.70,-0.18,7.70,31276
2460356.545348,0.99950,0.00226,1.2412,1.11,-0.12,6.52,38019
2460356.545454,0.99828,0.00226,1.2417,1.69,0.45,7.81,31902
2460356.545559,0.99825,0.00227,1.2422,2.29,0.30,8.25,27012
2460356.545664,0.99972,0.00226,1.2428,4.30,0.83,7.10,34323
2460356.545769,0.99528,0.00225,1.2433,4.46,0.67,7.75,29682
2460356.545875,0.99542,0.00227,1.2438,1.00,-0.07,9.98,23002
2460356.545980,0.99990,0.00226,1.2444,-1.76,-0.54,7.51,32252
2460356.546085,1.00151,0.00226,1.2449,-2.80,0.14,7.32,32154
2460356.546190,1.00470,0.00227,1.2455,-2.05,0.02,7.91,33262
2460356.546296,0.99442,0.00226,1.2460,-0.63,0.67,7.55,31170
2460356.546401,0.99678,0.00226,1.2465,0.03,0.02,7.31,37381
2460356.546506,1.00040,0.00226,1.2470,0.05,-0.23,8.27,31505
2460356.546611,0.99910,0.00227,1.2475,-1.21,-0.05,8.07,28278
2460356.546716,0.99691,0.00227,1.2481,-2.00,0.02,7.50,31543
2460356.546821,0.99615,0.00227,1.2486,-3.03,-0.33,7.75,27980
2460356.546926,0.99745,0.00226,1.2491,-3.16,-0.04,7.97,30009
2460356.547032,0.99936,0.00226,1.2497,-3.03,0.40,7.47,32754
2460356.547137,0.99899,0.00227,1.2502,-0.30,-0.63,8.15,27037
2460356.547242,0.99667,0.00226,1.2507,1.02,-0.97,7.28,36768
2460356.547347,1.00447,0.00227,1.2513,1.04,-0.52,6.94,36345
2460356.547452,0.99701,0.00225,1.2518,1.69,-0.90,8.26,32047
2460356.547557,1.00075,0.00227,1.2523,2.72,-0.73,6.72,34772
2460356.547662,0.99994,0.00227,1.2529,2.90,-0.69,7.77,30624
2460356.547767,1.00417,0.00228,1.2534,0.83,-0.14,7.99,25885
2460356.547873,1.00055,0.00227,1.2540,-1.04,-0.34,8.38,29439
2460356.547978,1.00006,0.00227,1.2545,-2.63,-0.27,7.40,33445
2460356.548083,1.00151,0.00227,1.2550,-3.08,-0.01,8.30,29250
