BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460356.537674,1.00023,0.00250,1.2053,0.77,0.05,8.19,33447
2460356.537779,1.00083,0.00249,1.2057,0.92,-0.58,9.20,33090
2460356.537884,0.99796,0.00249,1.2062,0.06,0.24,8.47,32788
2460356.537989,0.99958,0.00250,1.2067,-1.05,-0.10,9.14,28840
2460356.538094,0.99635,0.00249,1.2071,-2.72,0.28,8.18,32216
2460356.538199,0.99675,0.00250,1.2076,-4.76,0.09,7.62,34130
2460356.538304,1.00211,0.00251,1.2081,-3.42,0.10,9.28,26269
2460356.538409,1.00368,0.00250,1.2086,-0.96,0.21,8.27,32392
2460356.538514,1.00287,0.00250,1.2090,0.47,0.98,9.06,31033
2460356.538619,0.99913,0.00250,1.2095,1.12,0.49,7.83,35319
2460356.538724,0.99907,0.00250,1.2099,1.19,0.87,8.49,30648
2460356.538829,1.00295,0.00252,1.2105,0.69,0.74,9.51,25223
2460356.538935,1.00575,0.00251,1.2109,0.12,0.34,8.76,29081
2460356.539040,1.00374,0.00251,1.2113,-0.42,-0.18,8.06,35646
2460356.539145,1.00154,0.00250,1.2118,-0.05,-0.50,9.42,35263
2460356.539250,0.99852,0.00250,1.2124,0.04,0.10,7.51,38799
2460356.539355,1.00394,0.00251,1.2128,0.19,0.22,8.68,29588
2460356.539460,1.00643,0.00250,1.2133,0.75,0.28,8.16,33865
2460356.539566,1.00085,0.00250,1.2137,0.76,0.72,8.79,32909
2460356.539671,1.00606,0.00251,1.2142,0.60,0.85,7.47,33457
2460356.539776,1.00178,0.00251,1.2147,1.17,0.70,7.27,35764
2460356.539881,1.00143,0.00251,1.2152,0.69,0.84,8.52,29396
2460356.539986,1.00020,0.00251,1.2157,-0.23,0.60,8.16,31046
2460356.540092,0.99856,0.00250,1.2161,-2.18,1.12,8.41,32078
2460356.540197,1.00676,0.00250,1.2167,-2.18,-0.09,7.34,32255
2460356.540302,0.99894,0.00251,1.2171,-1.52,-0.17,8.36,34155
2460356.540407,1.00137,0.00251,1.2176,-1.45,-1.46,9.99,27106
2460356.540512,0.99942,0.00251,1.2181,-0.44,-0.60,7.98,33416
2460356.540617,1.00408,0.00251,1.2185,-0.98,0.05,7.89,33280
2460356.540722,1.00812,0.00252,1.2191,-2.23,-0.59,8.34,35916
2460356.540828,1.00146,0.00251,1.2196,-2.08,0.23,8.78,35041
2460356.540933,1.00134,0.00252,1.2201,-2.44,0.65,9.25,31984
2460356.541038,1.00323,0.00251,1.2205,-2.22,0.78,8.55,29284
2460356.541143,1.00164,0.00251,1.2210,-2.17,0.89,9.74,28076
2460356.541248,1.00281,0.00251,1.2215,-1.80,0.25,8.09,35580
2460356.541353,0.99735,0.00250,1.2220,-1.85,1.25,8.40,35468
2460356.541458,1.00307,0.00252,1.2225,-0.32,-0.45,8.56,31242
2460356.541564,1.00425,0.00252,1.2230,0.40,-0.43,8.41,29524
2460356.541669,1.00294,0.00252,1.2235,0.81,-1.13,8.05,29473
2460356.541774,0.99919,0.00251,1.2240,1.20,0.03,9.20,30415
2460356.541879,1.00502,0.00252,1.2244,0.13,-0.51,8.50,32697
2460356.541984,1.00392,0.00252,1.2249,-0.78,-0.22,7.84,33403
2460356.542089,0.99924,0.00251,1.2254,-1.47,0.25,8.51,31216
2460356.542195,1.00484,0.00251,1.2260,-1.60,0.11,7.83,33299
2460356.542300,0.99982,0.00251,1.2265,-0.59,-0.16,8.66,29790
2460356.542405,1.00160,0.00251,1.2269,0.31,0.37,7.86,31325
2460356.542510,1.00254,0.00251,1.2274,0.45,0.85,8.16,31672
2460356.542616,0.99594,0.00250,1.2280,-0.23,1.04,8.53,35881
2460356.542721,1.00066,0.00252,1.2285,-0.99,0.00,8.62,28358
2460356.542826,0.99884,0.00251,1.2290,-1.71,-0.42,8.30,32761
2460356.542931,1.00567,0.00253,1.2294,-2.81,-0.62,9.72,28358
2460356.543036,1.00088,0.00252,1.2299,-2.80,-0.12,9.20,28072
2460356.543141,0.99978,0.00253,1.2304,-1.15,0.49,8.34,31655
2460356.543246,1.00818,0.00253,1.2310,-0.94,-0.13,8.43,32979
2460356.543351,1.00327,0.00251,1.2314,0.39,0.60,9.35,29603
2460356.543457,1.00154,0.00251,1.2319,0.27,1.06,8.13,35492
2460356.543562,0.99950,0.00251,1.2325,1.72,0.68,9.51,30893
2460356.543667,1.00324,0.00252,1.2330,2.99,1.06,8.54,30682
2460356.543772,1.00304,0.00252,1.2335,2.37,0.46,8.66,36718
2460356.543878,1.00092,0.00251,1.2340,1.71,0.99,9.00,32544
2460356.543982,1.00299,0.00252,1.2345,-0.41,0.09,6.93,35590
2460356.544087,1.00575,0.00252,1.2350,-2.24,0.22,9.03,30806
2460356.544192,1.00117,0.00252,1.2356,-1.59,0.38,8.75,34899
2460356.544297,1.00091,0.00251,1.2360,-0.28,0.99,8.09,34655
2460356.544402,1.00587,0.00253,1.2365,0.84,0.20,8.76,32401
2460356.544507,1.00133,0.00252,1.2371,0.83,0.41,8.23,27658
2460356.544612,1.00639,0.00253,1.2376,-1.14,-0.89,7.99,37221
2460356.544717,0.99911,0.00252,1.2381,-1.38,-0.19,6.65,42840
2460356.544822,1.00402,0.00252,1.2386,-1.43,-0.23,8.36,33424
2460356.544928,1.00225,0.00253,1.2391,-1.91,0.39,8.14,33678
2460356.545033,1.00683,0.00253,1.2396,-1.10,0.23,9.04,35528
2460356.545138,1.00263,0.00252,1.2402,0.42,0.60,7.67,36657
2460356.545243,0.99860,0.00252,1.2407,0.22,-0.09,8.11,30223
2460356.545349,1.00598,0.00253,1.2412,0.45,-0.04,6.58,38942
2460356.545454,1.00511,0.00252,1.2417,0.51,0.01,8.79,30562
2460356.545559,1.00246,0.00253,1.2422,2.08,0.78,8.93,29612
2460356.545664,1.00150,0.00252,1.2428,3.36,1.07,7.28,37564
2460356.545770,1.00306,0.00252,1.2433,3.95,0.95,8.03,30459
2460356.545980,1.00527,0.00252,1.2444,-2.20,-0.15,7.85,34125
2460356.546085,1.00597,0.00253,1.2449,-3.57,0.06,8.17,30867
2460356.546190,1.00119,0.00252,1.2455,-2.71,0.26,8.12,33368
2460356.546295,0.99848,0.00252,1.2460,-1.18,0.92,8.36,32775
2460356.546400,0.99947,0.00252,1.2465,-0.36,0.38,7.95,35867
2460356.546506,1.00543,0.00253,1.2470,-0.73,-0.71,9.06,31540
2460356.546611,1.00068,0.00253,1.2475,-2.00,-0.26,8.58,31311
2460356.546716,1.00185,0.00252,1.2481,-2.47,0.37,8.23,32844
2460356.546821,1.00076,0.00253,1.2486,-3.32,-0.20,8.11,31328
2460356.546926,0.99812,0.00252,1.2491,-3.88,-0.02,8.77,33329
2460356.547032,0.99831,0.00252,1.2497,-3.58,0.86,7.91,37502
2460356.547137,1.00200,0.00253,1.2502,-1.04,-0.15,8.05,28570
2460356.547242,1.00386,0.00253,1.2507,0.06,-0.88,8.18,41852
2460356.547347,1.00379,0.00253,1.2513,0.39,-0.70,7.07,37203
2460356.547452,0.99804,0.00252,1.2518,1.78,-0.38,8.83,35564
2460356.547557,1.00100,0.00253,1.2523,2.15,-0.27,7.42,38096
2460356.547662,0.99879,0.00253,1.2529,2.35,-0.29,8.28,35895
2460356.547767,1.00212,0.00254,1.2534,-0.02,0.34,8.22,28426
2460356.547872,1.00108,0.00253,1.2540,-1.43,-0.45,8.78,29842
2460356.547977,1.00916,0.00254,1.2545,-3.63,-0.03,7.69,37634
2460356.548082,1.00038,0.00253,1.2550,-3.91,0.50,8.79,36507
2460356.548188,1.00498,0.00254,1.2556,-2.90,0.66,7.60,37121
2460356.548293,1.00329,0.00253,1.2561,-1.19,1.31,8.14,39246
2460356.548397,0.99626,0.00252,1.2567,-0.48,-0.04,7.45,31721
2460356.548503,0.99989,0.00253,1.2572,-1.27,-1.03,7.32,41089
2460356.548608,1.00030,0.00253,1.2578,-0.61,0.32,7.45,37888
2460356.548713,1.00553,0.00255,1.2583,-1.56,-0.42,8.89,33803
2460356.548818,1.00322,0.00253,1.2589,-1.60,-0.22,7.62,38517
2460356.548923,1.00123,0.00253,1.2594,-1.41,0.29,7.19,37811
2460356.549028,1.00042,0.00253,1.2600,-0.12,0.43,7.56,36282
2460356.549133,1.00324,0.00253,1.2605,1.71,-0.01,8.09,43552
2460356.549238,1.00146,0.00253,1.2611,1.13,-0.72,8.80,40767
2460356.549343,1.00225,0.00254,1.2616,1.18,0.09,6.68,38580
2460356.549449,1.00079,0.00253,1.2622,1.82,0.44,7.53,35284
2460356.549553,1.00292,0.00254,1.2627,2.58,-0.17,8.21,28154
2460356.549659,1.00413,0.00255,1.2633,0.72,0.11,7.44,32125
2460356.549764,0.99734,0.00253,1.2639,-1.46,0.26,7.40,36031
2460356.549870,1.00572,0.00255,1.2644,-2.26,0.93,7.55,35490
2460356.549975,1.00583,0.00255,1.2650,-3.31,0.94,8.10,32962
2460356.550080,1.00345,0.00254,1.2655,-3.41,1.13,7.29,39908
2460356.550185,1.00492,0.00255,1.2661,-3.23,1.20,6.66,40942
2460356.550291,1.00574,0.00255,1.2667,-0.74,0.02,7.97,29448
2460356.550396,1.00281,0.00255,1.2672,-0.66,-0.20,8.24,35478
2460356.550501,0.99684,0.00255,1.2678,-1.16,-0.00,7.09,35994
2460356.550606,0.99798,0.00254,1.2683,-1.27,-0.01,7.32,34514
2460356.550711,1.00301,0.00254,1.2689,-2.09,0.06,7.21,35323
2460356.550817,0.99935,0.00254,1.2695,-2.87,-0.32,7.11,34226
2460356.550922,1.00407,0.00255,1.2700,0.07,0.18,7.67,35491
2460356.551027,0.99519,0.00253,1.2706,0.36,-0.93,8.03,35264
2460356.551132,1.00033,0.00254,1.2712,0.44,-0.36,7.50,33328
2460356.551237,1.00546,0.00255,1.2718,1.26,0.17,7.52,38655
2460356.551342,1.00166,0.00254,1.2723,1.37,0.07,7.03,38380
2460356.551447,1.00258,0.00255,1.2729,1.65,0.15,7.52,36795
2460356.551552,1.00600,0.00255,1.2735,1.05,-1.05,8.87,30630
2460356.551657,1.00437,0.00255,1.2740,-0.20,0.57,7.08,33428
2460356.551762,1.00107,0.00254,1.2746,-2.63,-0.11,7.23,35333
2460356.551867,1.00622,0.00255,1.2752,-4.33,0.04,7.53,42877
2460356.551973,1.00968,0.00256,1.2758,-5.73,-0.33,7.68,45834
2460356.552078,1.00394,0.00254,1.2763,-4.47,0.12,7.35,40576
2460356.552183,1.00421,0.00256,1.2769,-1.26,-0.41,7.59,28142
2460356.552288,0.99927,0.00254,1.2775,0.10,-0.11,7.33,40998
2460356.552393,1.00184,0.00255,1.2781,-0.37,-0.36,7.61,35979
2460356.552498,1.00142,0.00254,1.2787,-0.47,-0.15,7.20,42402
2460356.552603,1.00478,0.00255,1.2792,-1.04,-0.28,6.60,40404
2460356.552708,0.99650,0.00254,1.2798,-1.04,0.65,7.26,42383
2460356.552814,1.00228,0.00255,1.2804,-0.14,-0.21,7.58,30916
2460356.552919,1.00456,0.00255,1.2810,0.82,-1.15,6.73,40103
2460356.553024,1.00082,0.00254,1.2816,1.81,-0.21,6.72,46480
2460356.553129,1.00155,0.00255,1.2822,2.12,-1.30,7.67,36277
2460356.553234,1.00197,0.00254,1.2827,2.42,-0.39,7.87,35467
2460356.553339,1.00192,0.00255,1.2833,1.96,-0.24,6.57,39710
2460356.553444,1.00227,0.00255,1.2839,1.94,0.34,7.47,33403
2460356.553550,1.00482,0.00256,1.2845,0.76,0.60,7.23,36164
2460356.553655,1.00058,0.00254,1.2851,-0.51,0.63,7.40,35111
2460356.553760,1.00042,0.00254,1.2857,-2.16,0.99,7.79,34695
2460356.553865,1.00500,0.00255,1.2863,-4.10,0.28,7.75,38471
2460356.553971,1.00166,0.00255,1.2869,-4.14,0.66,6.81,38549
